"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.437684176E0,-5.083787441E-2,2.534008026E-2,2.543115616E-2
1.442461624E0,-5.415523052E-2,1.697158813E-2,7.123768330E-3
1.447239124E0,-5.338335037E-2,8.661270142E-3,2.037858963E-2
1.452016572E0,-4.845631123E-2,8.138656616E-3,1.328188181E-2
1.456794019E0,-4.120957851E-2,-1.289367676E-3,2.653145790E-2
1.461571467E0,-3.521847725E-2,-5.512237549E-4,5.089718103E-2
1.466348967E0,-1.746153831E-2,5.504608154E-3,6.800031662E-2
1.471126415E0,-1.877200603E-2,2.752590179E-2,9.580016136E-2
1.475903863E0,-1.760721207E-3,-7.014274597E-3,1.388587356E-1
1.480681363E0,2.095818520E-3,-1.399803162E-2,1.658866405E-1
1.485458811E0,1.191401482E-2,-5.522727966E-3,5.250465870E-2
1.490236259E0,2.700066566E-2,1.118755341E-2,-6.825637817E-2
1.495013759E0,9.857654572E-3,2.778816223E-2,-2.713447809E-2
1.499791207E0,8.309602737E-3,3.376007080E-3,-1.008582115E-1
1.504568655E0,-1.856946945E-2,-4.747772217E-2,-2.021031380E-1
1.509346155E0,-5.353355408E-2,-4.391956329E-2,-2.474027872E-1
1.514123603E0,-9.197449684E-2,-7.782936096E-3,-1.904990673E-1
1.518901051E0,-5.084872246E-2,-6.965637207E-3,-1.070860028E-1
1.523678551E0,1.247560978E-2,-1.561927795E-2,-6.919986010E-2
1.528455999E0,6.352639198E-2,-2.892398834E-2,-1.263684034E-2
1.533233447E0,7.993018627E-2,-7.688522339E-3,6.020081043E-2
1.538010894E0,6.655311584E-2,-1.690196991E-2,1.047766805E-1
1.542788394E0,4.210650921E-2,-1.418304443E-2,1.344702244E-1
1.547565842E0,7.592439651E-4,3.719329834E-4,1.428508759E-1
1.552343290E0,-4.080450535E-2,-3.618240356E-3,1.320151687E-1
1.557120790E0,-5.834078789E-2,1.315689087E-2,1.334157586E-1
1.561898238E0,-5.558407307E-2,1.885414124E-3,1.296741962E-1
1.566675686E0,-3.693008423E-2,-1.021385193E-3,1.155159473E-1
1.571453186E0,4.659771919E-3,2.615928650E-3,1.103310585E-1
1.576230634E0,3.048372269E-2,-2.087593079E-3,9.160065651E-2
1.581008082E0,5.789923668E-2,-8.096694946E-4,7.357597351E-2
1.585785582E0,5.193257332E-2,-3.679275513E-3,6.692665815E-2
1.590563030E0,5.148684978E-2,-4.717826843E-3,4.606497288E-2
1.595340478E0,5.472218990E-2,-9.756088257E-4,2.652627230E-2
1.600117978E0,3.544032574E-2,-2.157688141E-2,1.720261574E-2
1.604895426E0,2.937078476E-2,-2.422809601E-2,2.181529999E-2
1.609672874E0,1.767873764E-4,-4.916191101E-3,1.038992405E-2
1.614450374E0,-6.170749664E-3,-2.964973450E-3,1.039946079E-2
1.619227822E0,-1.658892632E-2,-2.237987518E-2,9.225904942E-3
1.624005269E0,-1.689374447E-2,-7.848739624E-3,-7.141888142E-3
